game_id,winner,p1_score,p2_score,p1_distance,p2_distance,turns,stalemate,locked_players
7982,P1,68000,38000,40000,34000,89,0,0
7983,Stalemate,26000,51000,22000,39000,112,1,1
7984,Stalemate,15000,22000,7000,14000,112,1,1
7985,Stalemate,51000,29000,39000,25000,112,1,0
7986,P2,38000,68000,34000,40000,68,0,0
7987,P2,23000,64000,15000,40000,82,0,0
7988,P1,64000,23000,40000,23000,61,0,0
7989,P1,68000,4000,40000,4000,65,0,0
7990,Stalemate,43000,46000,35000,38000,112,1,1
7991,Stalemate,41000,46000,33000,38000,112,1,0
7992,P2,15000,64000,11000,40000,44,0,0
7993,Stalemate,26000,46000,18000,38000,112,1,0
7994,P1,96000,19000,40000,19000,89,0,1
7995,Stalemate,15000,41000,11000,29000,112,1,0
7996,P2,4000,88000,0,40000,96,0,1
7997,P1,64000,47000,40000,39000,89,0,0
7998,P2,46000,76000,38000,40000,100,0,0
7999,P1,64000,44000,40000,36000,91,0,0
8000,Stalemate,43000,36000,31000,32000,112,1,1
8001,Stalemate,38000,35000,34000,23000,112,1,0
8002,P1,64000,15000,40000,11000,37,0,0
8003,Stalemate,39000,15000,27000,11000,112,1,1
8004,Stalemate,51000,36000,39000,32000,112,1,0
8005,P1,76000,41000,40000,37000,51,0,0
8006,P1,64000,7000,40000,3000,65,0,1
8007,Stalemate,23000,51000,19000,39000,112,1,0
8008,Stalemate,21000,27000,13000,19000,112,1,1
8009,P2,30000,76000,26000,40000,68,0,0
8010,Stalemate,13000,24000,9000,12000,112,1,1
8011,P2,37000,64000,33000,40000,76,0,0
8012,Stalemate,37000,43000,33000,31000,112,1,0
8013,P2,32000,80000,28000,40000,70,0,1
8014,P2,28000,64000,20000,40000,92,0,0
8015,P2,17000,60000,13000,40000,58,0,0
8016,Stalemate,35000,50000,31000,38000,112,1,1
8017,Stalemate,24000,18000,16000,10000,112,1,0
8018,P2,39000,68000,35000,40000,86,0,0
8019,P1,56000,24000,40000,12000,85,0,0
8020,Stalemate,29000,34000,21000,26000,112,1,0
8021,P1,56000,24000,40000,12000,87,0,0
8022,Stalemate,44000,9000,36000,1000,112,1,0
8023,Stalemate,51000,18000,39000,14000,112,1,0
8024,P1,68000,41000,40000,37000,91,0,0
8025,Stalemate,27000,42000,19000,34000,112,1,1
8026,P1,60000,46000,40000,38000,75,0,0
8027,P2,18000,84000,18000,40000,56,0,0
8028,P2,28000,60000,20000,40000,60,0,1
8029,P1,56000,16000,40000,12000,53,0,1
8030,P1,60000,16000,40000,8000,89,0,0
8031,P2,35000,60000,31000,40000,72,0,0
8032,P1,68000,17000,40000,17000,77,0,1
8033,P1,68000,30000,40000,26000,93,0,0
8034,Stalemate,42000,38000,38000,26000,112,1,0
8035,Stalemate,66000,20000,38000,20000,112,1,1
8036,Stalemate,15000,37000,11000,25000,112,1,1
8037,P2,22000,60000,14000,40000,70,0,1
8038,Stalemate,22000,39000,10000,35000,112,1,0
8039,P1,64000,19000,40000,15000,71,0,0
8040,Stalemate,47000,45000,39000,37000,112,1,0
8041,Stalemate,39000,37000,31000,29000,112,1,0
8042,Stalemate,30000,19000,22000,11000,112,1,0
8043,Stalemate,65000,29000,37000,29000,112,1,1
8044,Stalemate,51000,33000,39000,29000,112,1,0
8045,P1,64000,29000,40000,25000,81,0,0
8046,Stalemate,40000,38000,32000,30000,112,1,0
8047,P1,64000,38000,40000,38000,83,0,0
8048,P2,23000,68000,19000,40000,38,0,0
8049,P1,68000,28000,40000,24000,81,0,0
8050,P1,68000,10000,40000,10000,51,0,1
8051,P1,80000,24000,40000,20000,95,0,0
8052,Stalemate,20000,47000,12000,39000,112,1,0
8053,P2,28000,56000,24000,40000,28,0,0
8054,P2,26000,64000,22000,40000,46,0,0
8055,P1,72000,19000,40000,7000,99,0,0
8056,P1,64000,30000,40000,30000,51,0,0
8057,P2,23000,64000,23000,40000,46,0,0
8058,Stalemate,36000,47000,28000,39000,112,1,0
8059,Stalemate,11000,47000,7000,35000,112,1,1
8060,Stalemate,23000,32000,19000,20000,112,1,1
8061,Stalemate,47000,22000,39000,14000,112,1,0
8062,P2,45000,64000,37000,40000,96,0,0
8063,Stalemate,27000,39000,23000,27000,112,1,0
8064,Stalemate,39000,41000,31000,33000,112,1,0
8065,Stalemate,26000,12000,14000,8000,112,1,0
8066,P2,27000,84000,27000,40000,98,0,0
8067,Stalemate,31000,36000,19000,32000,112,1,0
8068,P2,25000,64000,17000,40000,80,0,0
8069,P1,68000,36000,40000,32000,95,0,0
8070,Stalemate,31000,37000,23000,29000,112,1,0
8071,P2,25000,56000,13000,40000,88,0,0
8072,Stalemate,23000,19000,15000,11000,112,1,0
8073,P1,60000,35000,40000,31000,83,0,0
8074,Stalemate,42000,41000,30000,37000,112,1,1
8075,P1,80000,16000,40000,12000,43,0,1
8076,P1,64000,40000,40000,36000,53,0,0
8077,Stalemate,24000,43000,16000,35000,112,1,0
8078,P2,36000,64000,28000,40000,92,0,0
8079,P1,60000,16000,40000,8000,49,0,1
8080,P2,23000,68000,23000,40000,76,0,0
8081,Stalemate,43000,14000,39000,2000,112,1,0
8082,P1,60000,7000,40000,3000,61,0,0
8083,Stalemate,45000,47000,37000,39000,112,1,0
8084,Stalemate,24000,46000,16000,38000,112,1,0
8085,Stalemate,50000,27000,38000,23000,112,1,0
8086,P2,21000,60000,17000,40000,52,0,0
8087,P2,17000,68000,17000,40000,66,0,1
8088,Stalemate,4000,51000,0,39000,112,1,1
8089,Stalemate,43000,47000,35000,39000,112,1,1
8090,Stalemate,21000,31000,17000,19000,112,1,0
8091,Stalemate,5000,49000,1000,37000,112,1,1
8092,P1,68000,21000,40000,21000,85,0,1
8093,P1,60000,18000,40000,10000,65,0,1
8094,P1,84000,22000,40000,22000,87,0,0
8095,Stalemate,48000,22000,36000,18000,112,1,0
8096,Stalemate,29000,41000,21000,33000,112,1,0
8097,Stalemate,39000,36000,31000,28000,112,1,0
8098,P1,60000,37000,40000,33000,59,0,0
8099,P2,8000,80000,0,40000,54,0,1
8100,Stalemate,35000,35000,31000,23000,112,1,0
8101,P2,13000,92000,9000,40000,95,0,0
8102,P1,68000,22000,40000,22000,85,0,0
8103,Stalemate,46000,29000,38000,21000,112,1,0
8104,Stalemate,40000,51000,36000,39000,112,1,1
8105,Stalemate,40000,36000,36000,24000,112,1,0
8106,P2,22000,56000,14000,40000,58,0,0
8107,P1,68000,33000,40000,29000,89,0,0
8108,P1,60000,5000,40000,1000,77,0,1
8109,Stalemate,31000,34000,23000,26000,112,1,0
8110,Stalemate,47000,32000,35000,28000,112,1,1
8111,P1,88000,5000,40000,1000,78,0,0
8112,Stalemate,6000,45000,2000,33000,112,1,0
8113,P1,64000,34000,40000,26000,87,0,0
8114,P2,51000,60000,39000,40000,78,0,0
8115,Stalemate,49000,23000,37000,19000,112,1,0
8116,P2,3000,68000,3000,40000,58,0,1
8117,Stalemate,13000,30000,13000,2000,112,1,0
8118,Stalemate,19000,35000,15000,23000,112,1,1
8119,Stalemate,41000,46000,33000,38000,112,1,0
8120,Stalemate,42000,51000,38000,39000,112,1,0
8121,P1,60000,8000,40000,4000,59,0,0
8122,Stalemate,46000,46000,38000,38000,112,1,0
8123,P1,64000,23000,40000,15000,77,0,1
8124,Stalemate,40000,43000,28000,39000,112,1,1
8125,P1,80000,6000,40000,2000,75,0,0
8126,Stalemate,15000,14000,11000,2000,112,1,0
8127,Stalemate,40000,48000,36000,36000,112,1,1
8128,Stalemate,47000,29000,39000,21000,112,1,0
8129,Stalemate,45000,36000,33000,32000,112,1,0
8130,P2,23000,64000,15000,40000,96,0,0
8131,Stalemate,47000,47000,39000,39000,112,1,1
8132,Stalemate,44000,41000,36000,33000,112,1,0
8133,Stalemate,27000,25000,15000,21000,112,1,1
8134,Stalemate,10000,43000,2000,35000,112,1,1
8135,P1,60000,28000,40000,20000,77,0,0
8136,Stalemate,47000,19000,35000,15000,112,1,0
8137,Stalemate,36000,34000,32000,22000,112,1,0
8138,P2,12000,68000,8000,40000,80,0,1
8139,Stalemate,47000,44000,39000,36000,112,1,0
8140,P1,60000,29000,40000,21000,79,0,1
8141,Stalemate,17000,33000,13000,21000,112,1,1
8142,Stalemate,35000,51000,31000,39000,112,1,1
8143,Stalemate,27000,16000,19000,8000,112,1,1
8144,Stalemate,23000,41000,15000,33000,112,1,0
8145,P2,40000,60000,36000,40000,62,0,0
8146,P1,64000,33000,40000,29000,75,0,1
8147,P1,56000,22000,40000,18000,39,0,0
8148,P2,35000,72000,31000,40000,46,0,0
8149,P1,68000,15000,40000,11000,79,0,0
8150,P2,24000,68000,20000,40000,68,0,0
8151,Stalemate,50000,28000,38000,24000,112,1,0
8152,Stalemate,36000,43000,24000,39000,112,1,0
8153,Stalemate,38000,42000,34000,30000,112,1,1
8154,P2,29000,72000,21000,40000,78,0,0
8155,P2,42000,64000,38000,40000,58,0,0
8156,Stalemate,43000,29000,39000,17000,112,1,0
8157,P2,40000,56000,28000,40000,88,0,0
8158,Stalemate,30000,18000,22000,10000,112,1,1
8159,Stalemate,37000,38000,33000,26000,112,1,1
8160,P1,64000,26000,40000,18000,91,0,0
8161,Stalemate,28000,47000,20000,39000,112,1,0
8162,Stalemate,35000,22000,27000,14000,112,1,0
8163,P2,18000,64000,10000,40000,78,0,0
8164,P1,68000,16000,40000,16000,91,0,0
8165,P2,11000,64000,7000,40000,94,0,0
8166,Stalemate,44000,42000,32000,38000,112,1,0
8167,Stalemate,51000,19000,39000,15000,112,1,0
8168,Stalemate,8000,36000,0,28000,112,1,0
8169,Stalemate,25000,21000,17000,13000,112,1,1
8170,Stalemate,31000,34000,27000,22000,112,1,0
8171,Stalemate,40000,36000,28000,32000,112,1,1
8172,Stalemate,28000,35000,20000,27000,112,1,0
8173,P1,68000,25000,40000,21000,83,0,0
8174,Stalemate,56000,0,28000,0,112,1,0
8175,P2,38000,68000,34000,40000,76,0,0
8176,P1,64000,14000,40000,10000,85,0,0
8177,P1,60000,36000,40000,28000,57,0,0
8178,Stalemate,36000,13000,24000,9000,112,1,0
8179,Stalemate,22000,29000,14000,21000,112,1,0
8180,Stalemate,36000,41000,32000,29000,112,1,0
8181,P1,64000,43000,40000,39000,83,0,0
8182,Stalemate,19000,49000,15000,37000,112,1,0
8183,Stalemate,41000,28000,33000,20000,112,1,1
8184,Stalemate,32000,35000,24000,27000,112,1,1
8185,Stalemate,34000,65000,34000,37000,112,1,0
8186,P2,33000,80000,29000,40000,100,0,0
8187,Stalemate,28000,23000,16000,19000,112,1,0
8188,Stalemate,20000,37000,16000,25000,112,1,0
8189,P2,32000,60000,28000,40000,66,0,0
8190,Stalemate,33000,42000,25000,34000,112,1,1
8191,Stalemate,65000,34000,37000,34000,112,1,0
8192,Stalemate,46000,37000,38000,29000,112,1,0
8193,P1,60000,43000,40000,39000,81,0,0
8194,Stalemate,19000,23000,15000,11000,112,1,1
8195,P1,80000,40000,40000,36000,101,0,0
8196,Stalemate,41000,49000,37000,37000,112,1,0
8197,P2,4000,96000,4000,40000,100,0,1
8198,Stalemate,67000,25000,39000,25000,112,1,1
8199,Stalemate,48000,31000,36000,27000,112,1,1
8200,Stalemate,13000,37000,5000,29000,112,1,0
8201,Stalemate,18000,48000,14000,36000,112,1,0
8202,Stalemate,18000,47000,10000,39000,112,1,1
8203,P1,60000,40000,40000,36000,61,0,0
8204,P1,76000,31000,40000,23000,95,0,0
8205,P2,35000,68000,31000,40000,76,0,0
8206,P1,60000,35000,40000,27000,49,0,0
8207,P1,56000,36000,40000,24000,69,0,0
8208,Stalemate,5000,61000,5000,33000,112,1,0
8209,Stalemate,35000,22000,23000,18000,112,1,0
8210,P1,60000,41000,40000,37000,81,0,0
8211,P2,33000,64000,25000,40000,86,0,0
8212,P2,39000,64000,31000,40000,82,0,0
8213,Stalemate,36000,28000,28000,20000,112,1,0
8214,Stalemate,37000,62000,37000,34000,112,1,0
8215,P1,64000,21000,40000,13000,91,0,1
8216,Stalemate,34000,35000,26000,27000,112,1,0
8217,Stalemate,19000,42000,11000,22000,111,1,1
8218,Stalemate,49000,29000,37000,25000,112,1,0
8219,P2,23000,76000,19000,40000,74,0,0
8220,P1,64000,14000,40000,10000,49,0,0
8221,P1,68000,26000,40000,22000,83,0,1
8222,Stalemate,21000,36000,9000,32000,112,1,1
8223,P1,76000,42000,40000,34000,85,0,0
8224,P1,64000,31000,40000,23000,81,0,0
8225,P1,64000,10000,40000,6000,77,0,0
8226,P2,24000,64000,20000,40000,90,0,0
8227,P1,60000,39000,40000,27000,95,0,0
8228,Stalemate,19000,40000,15000,28000,112,1,0
8229,Stalemate,37000,12000,25000,8000,112,1,1
8230,P2,42000,64000,34000,40000,80,0,0
8231,P2,25000,64000,21000,40000,88,0,0
8232,P2,25000,68000,25000,40000,70,0,0
8233,P2,14000,64000,10000,40000,70,0,1
8234,P2,42000,76000,34000,40000,100,0,0
8235,Stalemate,39000,31000,31000,23000,112,1,0
8236,P2,47000,64000,39000,40000,80,0,0
8237,Stalemate,46000,43000,34000,39000,112,1,0
8238,P1,64000,36000,40000,28000,97,0,0
8239,P1,60000,25000,40000,13000,81,0,0
8240,P2,7000,68000,3000,40000,66,0,0
8241,Stalemate,51000,32000,39000,28000,112,1,1
8242,Stalemate,44000,47000,36000,39000,112,1,0
8243,Stalemate,43000,33000,31000,29000,112,1,0
8244,Stalemate,6000,45000,2000,33000,112,1,1
8245,P1,68000,33000,40000,29000,53,0,0
8246,P1,76000,21000,40000,17000,69,0,1
8247,Stalemate,24000,50000,20000,38000,112,1,0
8248,Stalemate,51000,42000,39000,38000,112,1,0
8249,P2,43000,64000,35000,40000,94,0,1
8250,P1,64000,28000,40000,24000,67,0,0
8251,Stalemate,46000,12000,38000,4000,112,1,0
8252,Stalemate,42000,27000,34000,19000,112,1,1
8253,Stalemate,41000,29000,37000,5000,111,1,0
8254,Stalemate,42000,50000,38000,38000,112,1,0
8255,Stalemate,23000,12000,19000,0,112,1,0
8256,P2,30000,64000,26000,40000,46,0,0
8257,Stalemate,21000,15000,17000,3000,112,1,1
8258,P1,64000,38000,40000,30000,93,0,0
8259,Stalemate,37000,20000,25000,16000,112,1,0
8260,P1,76000,45000,40000,37000,91,0,0
8261,Stalemate,44000,47000,36000,39000,112,1,0
8262,P2,30000,68000,30000,40000,62,0,0
8263,Stalemate,45000,44000,37000,36000,112,1,0
8264,Stalemate,42000,46000,34000,38000,112,1,0
8265,Stalemate,41000,47000,33000,39000,112,1,0
8266,Stalemate,8000,23000,0,15000,112,1,1
8267,Stalemate,37000,46000,29000,38000,112,1,0
8268,Stalemate,36000,47000,28000,39000,112,1,0
8269,Stalemate,28000,46000,20000,38000,112,1,1
8270,P1,68000,29000,40000,25000,71,0,1
8271,P1,60000,23000,40000,11000,57,0,0
8272,P2,28000,80000,24000,40000,92,0,1
8273,P2,22000,68000,18000,40000,60,0,0
8274,P2,16000,68000,12000,40000,84,0,0
8275,P1,60000,8000,40000,4000,57,0,0
8276,Stalemate,47000,18000,39000,10000,112,1,0
8277,Stalemate,16000,46000,12000,34000,112,1,1
8278,P2,36000,64000,36000,40000,78,0,0
8279,P2,30000,60000,26000,40000,84,0,0
8280,P2,39000,64000,31000,40000,78,0,0
8281,P2,14000,64000,6000,40000,62,0,0
8282,Stalemate,40000,31000,32000,23000,112,1,1
8283,Stalemate,42000,37000,38000,25000,112,1,0
8284,Stalemate,43000,50000,39000,38000,112,1,1
8285,P1,64000,10000,40000,6000,77,0,1
8286,Stalemate,50000,27000,38000,23000,112,1,0
8287,P1,68000,28000,40000,24000,73,0,0
8288,Stalemate,33000,47000,25000,39000,112,1,0
8289,P1,84000,33000,40000,33000,91,0,0
8290,Stalemate,36000,33000,28000,25000,112,1,0
8291,Stalemate,15000,66000,15000,38000,112,1,1
8292,Stalemate,40000,18000,28000,14000,112,1,0
8293,Stalemate,40000,26000,28000,22000,112,1,0
8294,P2,33000,68000,29000,40000,70,0,0
8295,Stalemate,43000,51000,39000,39000,112,1,0
8296,Stalemate,35000,20000,31000,8000,112,1,0
8297,Stalemate,23000,51000,19000,39000,112,1,0
8298,Stalemate,8000,10000,0,2000,112,1,1
8299,P2,47000,60000,39000,40000,82,0,0
8300,P1,80000,14000,40000,10000,87,0,0
8301,P2,26000,60000,14000,40000,88,0,0
8302,Stalemate,36000,36000,24000,32000,112,1,0
8303,P2,38000,96000,38000,40000,83,0,0
8304,P2,43000,68000,39000,40000,84,0,0
8305,Stalemate,32000,49000,28000,37000,112,1,0
8306,Stalemate,35000,43000,23000,39000,112,1,0
8307,Stalemate,36000,45000,28000,37000,112,1,0
8308,P1,68000,26000,40000,22000,67,0,1
8309,Stalemate,13000,51000,9000,39000,112,1,0
8310,P1,68000,3000,40000,3000,55,0,1
8311,P2,10000,80000,10000,40000,92,0,0
8312,Stalemate,43000,33000,39000,21000,112,1,0
8313,Stalemate,40000,18000,36000,6000,112,1,0
8314,P2,18000,68000,14000,40000,98,0,0
8315,P1,64000,22000,40000,18000,71,0,1
8316,P2,20000,96000,20000,40000,100,0,1
8317,Stalemate,26000,5000,14000,1000,112,1,0
8318,Stalemate,46000,38000,38000,30000,112,1,1
8319,Stalemate,28000,44000,20000,36000,112,1,1
8320,Stalemate,34000,42000,22000,38000,112,1,0
8321,P1,56000,22000,40000,22000,51,0,1
8322,Stalemate,47000,10000,35000,6000,112,1,0
8323,Stalemate,38000,50000,38000,22000,112,1,0
8324,Stalemate,40000,25000,28000,21000,112,1,1
8325,P1,64000,22000,40000,14000,93,0,0
8326,P1,84000,18000,40000,18000,53,0,0
8327,Stalemate,67000,26000,39000,26000,112,1,0
8328,P2,0,80000,0,40000,48,0,0
8329,Stalemate,47000,23000,39000,15000,112,1,0
8330,Stalemate,27000,47000,23000,35000,112,1,0
8331,P1,64000,25000,40000,17000,69,0,0
8332,Stalemate,47000,46000,39000,38000,112,1,0
8333,Stalemate,44000,35000,32000,31000,112,1,0
8334,Stalemate,67000,29000,39000,29000,112,1,0
8335,P1,68000,16000,40000,12000,91,0,1
8336,P2,22000,80000,22000,40000,78,0,1
8337,Stalemate,34000,18000,22000,14000,112,1,0
8338,Stalemate,9000,20000,1000,12000,112,1,0
8339,Stalemate,18000,23000,10000,15000,112,1,0
8340,P1,56000,28000,40000,16000,93,0,0
8341,P1,60000,42000,40000,38000,69,0,1
8342,P1,60000,15000,40000,7000,63,0,1
8343,P1,56000,59000,40000,31000,97,0,0
8344,Stalemate,49000,36000,37000,32000,112,1,0
8345,P2,18000,64000,14000,40000,66,0,1
8346,Stalemate,34000,47000,26000,39000,112,1,0
8347,P2,20000,68000,16000,40000,96,0,0
8348,P1,64000,8000,40000,4000,69,0,0
8349,P1,60000,26000,40000,14000,93,0,0
8350,P1,64000,8000,40000,8000,59,0,1
8351,Stalemate,28000,32000,20000,24000,112,1,0
8352,P2,39000,64000,39000,40000,80,0,0
8353,Stalemate,47000,17000,39000,9000,112,1,1
8354,P2,28000,68000,24000,40000,88,0,0
8355,P2,27000,64000,27000,40000,50,0,0
8356,P2,4000,80000,0,40000,90,0,1
8357,P1,76000,10000,40000,2000,63,0,0
8358,P1,60000,11000,40000,11000,49,0,1
8359,Stalemate,24000,65000,24000,37000,112,1,0
8360,Stalemate,32000,26000,24000,18000,112,1,1
8361,Stalemate,43000,44000,39000,32000,112,1,0
8362,P1,64000,31000,40000,27000,91,0,0
8363,Stalemate,14000,39000,6000,31000,112,1,0
8364,P2,42000,64000,34000,40000,86,0,0
8365,Stalemate,67000,38000,39000,38000,112,1,0
8366,Stalemate,50000,23000,38000,19000,112,1,0
8367,P1,60000,44000,40000,36000,85,0,0
8368,Stalemate,18000,59000,18000,31000,112,1,1
8369,Stalemate,41000,36000,33000,28000,112,1,0
8370,P1,64000,31000,40000,27000,67,0,0
8371,P2,7000,64000,7000,40000,38,0,1
8372,Stalemate,47000,37000,35000,33000,112,1,0
8373,Stalemate,28000,45000,20000,37000,112,1,0
8374,P1,88000,0,40000,0,73,0,1
8375,P2,8000,64000,8000,40000,62,0,1
8376,P2,4000,64000,4000,40000,74,0,0
8377,P1,64000,25000,40000,17000,73,0,0
8378,Stalemate,43000,21000,39000,9000,112,1,1
8379,P1,64000,21000,40000,17000,65,0,0
8380,Stalemate,38000,34000,30000,26000,112,1,0
8381,Stalemate,30000,41000,22000,33000,112,1,0
8382,P1,60000,6000,40000,6000,33,0,1
8383,P1,60000,43000,40000,31000,75,0,1
8384,Stalemate,11000,27000,3000,19000,112,1,0
8385,Stalemate,34000,13000,22000,9000,112,1,0
8386,Stalemate,50000,6000,38000,2000,112,1,0
8387,P1,88000,0,40000,0,51,0,0
8388,Stalemate,67000,22000,39000,22000,112,1,0
8389,P1,64000,10000,40000,10000,53,0,1
8390,Stalemate,5000,54000,5000,26000,112,1,0
8391,P1,68000,43000,40000,39000,99,0,1
8392,Stalemate,47000,35000,39000,27000,112,1,0
